Column;Used;Null Rate; Type; Unique values; Values
DATECO_ACT_F_TRABAJA;;80.62;object;19264;"Top 10:
NaN                         80624
15/03/2002 12:19:59 p.m.        4
14/03/2002 01:03:03 p.m.        2
10/08/2001 09:55:41 a.m.        2
07/10/2002 10:25:53 a.m.        2
12/03/2002 04:51:14 p.m.        2
08/10/2002 12:07:18 p.m.        2
22/10/2002 09:49:42 a.m.        2
10/08/2001 01:35:38 p.m.        2
24/07/2001 04:21:14 p.m.        2"
DATECO_OBSERVACIONES;;99.77;object;191;"Top 10:
NaN                 99774
EDAD ESCOLAR            9
jubilado                6
edad escolar            6
JUBILADO                3
comerciante             3
albañil                 3
policia                 3
empleado                3
tecnico mecanico        2"
DATECO_TELEFONO_EMPLEADOR;;97.64;object;1093;"Top 10:
NaN           97637
25-7075/8        95
4326-0174        86
    394528       48
 3725860         42
0713-92385       36
    329200       32
075224460        28
    84080        26
    311630       26"
DATECO_DOMICILIO_EMPLEADOR;;95.57;object;2861;"Top 10:
NaN                       95570
CORDOBA 1882                 94
SARMIENTO 877 6              51
HIPOLITO YRIGOYEN 1770       46
AVDA LUJAN 3654              43
SARMIENTO S/N                36
LIMA 219                     36
SUIPACHA 150 10              29
JUNIN 328                    28
SARMIENTO 877 6              28"
DATMAR_CANTIDAD_HIJOS;;93.08;float64;13;"[0.0;32.0]"
DATMAR_CLUB;;99.89;object;88;"Top 10:
NaN                       99889
no                            6
san lorenzo                   4
A.C.A.                        3
boca                          3
C.A. RIVER PLATE              3
ACA                           3
river                         2
ciudad de buenos aires        2
circulo militar               2"
DATMAR_COMPLETO_ESTUDIOS;;81.3;object;2;"Top 10:
NaN    81296
N      17418
S       1285"
DATMAR_NIVEL_EDUCACION;;83.09;object;4;"Top 10:
NaN              83086
PRIMARIO         14563
SECUNDARIO        1328
UNIVERSITARIO      672
TERCIARIO          350"
DATMAR_PUNTAJE;;100.0;float64;0;"[nan;nan]"
DATMAR_VIAJES_ANUALES;;99.91;float64;8;"[0.0;14.0]"
DATMAR_ACT_F_CANTIDAD_HIJOS;;93.13;object;6753;"Top 10:
NaN                         93132
11/03/1999 10:14:41 a.m.       19
11/03/1999 10:15:13 a.m.        9
11/03/1999 10:14:42 a.m.        9
11/03/1999 10:15:18 a.m.        8
11/03/1999 10:14:08 a.m.        7
11/03/1999 10:14:26 a.m.        6
11/03/1999 10:14:27 a.m.        5
11/03/1999 10:12:52 a.m.        4
11/03/1999 10:14:12 a.m.        4"
DATMAR_ACT_F_CLUB;;99.89;object;110;"Top 10:
NaN                         99889
25/08/1999 01:43:17 p.m.        1
25/08/1999 07:26:13 p.m.        1
07/07/1998 12:11:50 p.m.        1
31/08/1999 01:29:15 p.m.        1
12/08/1999 02:18:47 p.m.        1
20/08/1999 04:22:03 p.m.        1
06/08/1999 03:26:20 p.m.        1
03/08/1999 05:29:33 p.m.        1
04/08/1999 05:42:57 p.m.        1"
DATMAR_ACT_F_COMPLETO_ESTUDIOS;;81.14;object;18508;"Top 10:
NaN                         81136
24/12/1998 11:09:50 a.m.       16
24/12/1998 11:06:49 a.m.       13
24/12/1998 11:07:57 a.m.       12
24/12/1998 11:07:38 a.m.       12
24/12/1998 11:08:15 a.m.        9
24/12/1998 11:06:51 a.m.        9
24/12/1998 11:09:47 a.m.        9
24/12/1998 11:08:18 a.m.        8
24/12/1998 11:08:19 a.m.        8"
DATMAR_ACT_F_NIVEL_EDUCACION;;82.93;object;16943;"Top 10:
NaN                         82931
07/09/1998 12:08:05 p.m.       20
07/09/1998 12:08:07 p.m.       13
07/09/1998 12:08:06 p.m.       11
15/03/2002 12:19:59 p.m.        4
03/08/2001 09:47:58 a.m.        2
12/03/2002 10:00:13 a.m.        2
15/03/2002 11:34:47 a.m.        2
03/08/2001 05:10:15 p.m.        2
03/08/2001 11:50:09 a.m.        2"
DATMAR_ACT_F_PUNTAJE;;100.0;float64;0;"[nan;nan]"
DATMAR_ACT_F_VIAJES_ANUALES;;99.91;object;90;"Top 10:
NaN                         99909
24/11/1998 02:20:53 p.m.        1
20/07/1998 02:53:37 p.m.        1
04/09/1998 05:30:39 p.m.        1
06/07/1998 02:04:11 p.m.        1
16/06/1998 04:18:28 p.m.        1
23/08/1999 08:32:23 p.m.        1
04/09/1998 06:02:39 p.m.        1
30/07/1998 10:57:56 a.m.        1
09/07/1998 11:47:43 a.m.        1"
OPERADOR;;68.24;object;79;"Top 10:
NaN            68236
OPERADOR        9476
OPS$CONSOLA     8901
TELETODO        6821
RISO            4961
PAEZA            502
MOSQUERA         257
LNF               76
MTOSCANO          70
EZ                69"
DATECO_TIPO_ACTIVIDAD;;81.83;object;526;"Top 10:
NaN     81825
EMPL     6178
COME     1304
ADMI     1118
JUBI     1095
OTRO     1054
AMAD      593
MEDI      526
DOCE      521
ABOG      448"
DATMAR_VACACIONES;;98.81;object;32;"Top 10:
NaN     98811
NVLF      531
COST      242
NOVA       89
INTE       77
MDPL       59
EXTE       29
CORD       19
URUG       17
BRAS       17"
DATMAR_HOBBIE;;100.0;object;1;"Top 10:
NaN     99996
DEPO        3"
DOMICILIO_TRAMO_ID;;100.0;float64;0;"[nan;nan]"
DOMICILIO_ID_ENTRE_1;;99.56;float64;346;"[4.0;44115.0]"
DOMICILIO_ID_ENTRE_2;;99.63;float64;294;"[4.0;43483.0]"
ACT_F;X;0.0;object;36135;"Top 10:
02/05/2006 08:45:04 p.m.    752
02/05/2006 08:44:39 p.m.    722
02/05/2006 08:45:03 p.m.    558
02/05/2006 08:44:38 p.m.    415
02/05/2006 07:18:26 p.m.    388
02/05/2006 07:18:51 p.m.    377
02/05/2006 07:18:52 p.m.    367
02/05/2006 07:18:54 p.m.    367
02/05/2006 07:18:50 p.m.    366
02/05/2006 08:44:40 p.m.    366"
ACT_U;X;0.0;object;2284;"Top 10:
PATALLO         60122
OPS$CONSOLA      5063
OPS$WEBSPHER     2422
HERRERA          1856
OPS$WS            879
WFSQL             828
OPS$WSSOA         484
OPS$RUGGIERP      315
OPS$CAMARINO      287
MAYOTTI           215"
DOMICILIO_SEMAFORO;;96.93;object;2;"Top 10:
NaN    96927
A       1862
V       1210"
TELEFONO_SEMAFORO;;99.13;object;3;"Top 10:
NaN    99128
R        458
A        410
V          3"
ESTADO_CIVIL_SEMAFORO;;100.0;float64;0;"[nan;nan]"
FECHA_NACIMIENTO_SEMAFORO;;100.0;float64;0;"[nan;nan]"
TIPO_DOMICILIO;;78.68;object;5;"Top 10:
NaN     78677
PART    21124
COFI      104
LABO       87
TRAB        5
CORR        2"
PREFIJO_INTERNACIONAL;;100.0;float64;1;"[54.0;54.0]"
PREFIJO_INTERURBANO;;100.0;float64;3;"[1.0;96.0]"
TIPO_TELEFONO;;99.36;object;1;"Top 10:
NaN     99360
PART      639"
CODIGO_NACION;;3.17;object;24;"Top 10:
ARGE    96580
NaN      3172
URUY       51
PARG       45
ITAI       32
CHIE       23
BOLV       19
ESPÑ       16
ARG        12
OTRO       12"
ACT_F_APELLIDO;;0.96;object;57936;"Top 10:
NaN                         962
15/12/1997 01:12:32 p.m.     43
26/12/1998                   39
30/03/1998 09:24:23 a.m.     36
30/03/1998 09:23:57 a.m.     33
30/03/1998 09:24:54 a.m.     32
30/03/1998 09:24:15 a.m.     32
15/12/1997 01:12:31 p.m.     32
21/01/1998 05:02:45 p.m.     31
21/01/1998 07:07:46 p.m.     31"
ACT_F_NOMBRES;;1.72;object;59487;"Top 10:
NaN                         1719
11/08/2004 05:24:09 p.m.      64
11/08/2004 05:24:17 p.m.      60
11/08/2004 05:24:19 p.m.      56
11/08/2004 05:24:27 p.m.      55
11/08/2004 05:24:10 p.m.      55
11/08/2004 05:24:13 p.m.      54
11/08/2004 05:24:33 p.m.      53
11/08/2004 05:24:24 p.m.      52
11/08/2004 05:24:23 p.m.      50"
ANO_DE_NACIMIENTO;;31.28;float64;117;"[1900.0;2033.0]"
TELEFONO_ID;;43.6;float64;56404;"[16.0;13820324.0]"
DOMICILIO_ID;;25.56;float64;74437;"[134.0;21982375.0]"
DOMICILIO_LATITUD;;89.71;float64;10001;"[-71.43880588;-55.1172394]"
DOMICILIO_LONGITUD;;89.71;float64;9999;"[-54.83169941;-23.12626296]"
POSICION_IVA;;25.07;float64;7;"[1.0;8.0]"
POSICION_IB;;56.08;float64;4;"[-9.0;3.0]"
NUMERO_IB;;99.42;float64;204;"[0.0;11220163611520.0]"
DATECO_ACT_U_TIPO_ACTIVIDAD;;81.99;object;1221;"Top 10:
NaN             81991
WFSQL            1420
OPS$WS            382
OPS$WEBSPHER      259
OPS$ESPINOLA      212
PATALLO           198
OPS$TURBEL        187
OPS$KAPLAN        153
OPS$CHEVASCO      135
OPS$YANEZ         128"
DATECO_ACT_F_TIPO_ACTIVIDAD;;81.99;object;16609;"Top 10:
NaN                         81991
31/03/2005 03:56:01 p.m.       91
31/03/2005 03:56:02 p.m.       79
31/03/2005 03:56:00 p.m.       77
31/03/2005 03:56:03 p.m.       66
31/03/2005 03:56:05 p.m.       59
31/03/2005 03:56:04 p.m.       55
31/03/2005 01:29:41 p.m.       47
31/03/2005 01:25:48 p.m.       45
31/03/2005 03:55:59 p.m.       41"
ACT_F_TIPO_DOCUMENTO;;62.19;object;15396;"Top 10:
NaN                         62189
27/12/2002 10:55:34 a.m.       11
12/06/2002 06:23:45 p.m.       10
08/03/2002 02:28:36 p.m.        9
24/12/2001 10:34:30 a.m.        9
08/03/2002 02:47:05 p.m.        9
08/03/2002 02:19:52 p.m.        9
08/03/2002 02:57:29 p.m.        9
24/12/2001 10:34:42 a.m.        9
24/12/2001 10:29:43 a.m.        9"
ACT_F_NUMERO_DOCUMENTO;;61.9;object;15178;"Top 10:
NaN                         61898
04/05/2000 10:56:32 a.m.       11
04/05/2000 10:55:03 a.m.       10
12/06/2002 06:23:45 p.m.       10
04/05/2000 10:56:33 a.m.        9
24/12/2001 10:34:42 a.m.        9
08/03/2002 02:28:36 p.m.        9
08/03/2002 02:47:05 p.m.        9
08/03/2002 02:19:52 p.m.        9
28/12/2000 03:11:07 p.m.        9"
VALIDO;;22.36;object;1;"Top 10:
S      77636
NaN    22363"
NEWSLETTER;;100.0;float64;0;"[nan;nan]"
SEGMENTABLE;;100.0;float64;0;"[nan;nan]"
ESTADO_CLIENTE;;99.28;object;1;"Top 10:
NaN    99281
C        718"
PADRE;;100.0;float64;0;"[nan;nan]"
TIPO_ORGANIZACION;;98.26;object;4;"Top 10:
NaN        98262
Privada     1701
Publica       34
PRIVADA        1
PUBLICA        1"
ACTIVIDAD_SEGURO;;99.73;float64;31;"[1.0;37.0]"
MCA_LAVADO;;99.55;object;2;"Top 10:
NaN    99545
N        449
S          5"
PKUNIVAL;;71.47;object;1;"Top 10:
NaN    71473
S      28526"
FORMA_JURIDICA;;99.99;object;3;"Top 10:
NaN        99992
S.A.           5
privada        1
SA             1"
TELEFONO_CEL_ID;;81.35;float64;18653;"[13093.0;13824766.0]"
MAIL_ID;;79.34;float64;20663;"[33.0;3289236.0]"
LUGAR_NACIMIENTO;;99.68;object;66;"Top 10:
NaN               99675
caba                111
bs as                46
corrientes           22
santa fe             11
entre rios           10
sgo del estero        8
SAN JUAN              8
cordoba               7
salta                 6"
POLITICAMENTE_EXPUESTA;;98.94;object;2;"Top 10:
NaN    98936
S        625
N        438"
F_INSC_REGISTRAL;;100.0;object;1;"Top 10:
NaN           99998
12/03/2019        1"
NRO_INSC_REGISTRAL;;100.0;float64;0;"[nan;nan]"
F_CONTRATO_SOCIAL;;100.0;object;1;"Top 10:
NaN           99998
12/03/2019        1"
MCA_SUSP_COBERTURA;;99.57;object;1;"Top 10:
NaN    99566
N        433"
MOTIVO_MCA_LAVADO;;100.0;float64;2;"[2.0;6.0]"
POLITICAMENTE_EXPUESTA_DDJJ;;99.37;object;2;"Top 10:
NaN    99367
N        598
S         34"
DATECO_FECHA_TIPO_ACT;;98.26;object;1;"Top 10:
NaN           98256
20/05/2015     1743"
CONFIRMADO_FNAC;;91.44;object;8548;"Top 10:
NaN                         91440
01/04/2019                      4
31/05/2019                      4
28/05/2019                      2
04/04/2019                      2
24/01/2018 09:45:46 a.m.        2
22/04/2019                      2
14/05/2019                      2
26/10/2017 03:21:04 p.m.        1
29/04/2019 10:27:43 a.m.        1"
USUARIO_RED_SOCIAL_ID;;99.96;float64;36;"[153.0;5962.0]"
OBSERVACION_LAVADO;;100.0;float64;0;"[nan;nan]"
