Column;Used;Null Rate; Type; Unique values; Values
COD_MON;;0.0;int64;1;"[1;1]"
IMPORTE_RESERVA;X;0.0;object;47480;"Top 10:
1.00        139134
0.00         43942
2500.00      42097
1000.00      27160
4100.00      13862
2000.00      13289
4820.00      11072
11000.00     11033
10000.00      8921
1500.00       7348"
COD_CONCEP_RVA;X;0.0;int64;22;"[0;9999]"
IMPORTE_LIQUIDADO;X;0.0;object;58498;"Top 10:
0.00       317607
1700.00      2031
390.00       1914
320.00       1556
5373.00      1418
1370.00      1349
5700.00      1308
3600.00      1223
450.00       1198
3000.00      1014"
MCA_COASEG;;99.14;object;1;"Top 10:
NaN    501571
SI       4336"
IMPORTE_COASEG;X;0.0;object;964;"Top 10:
0.00       501586
1750.00       791
7700.00       656
0.70          579
700.00        164
7000.00       103
3374.00        97
2870.00        40
2024.40        39
6600.00        37"
IMPORTE_REASEG;;0.0;object;1;"Top 10:
0.00    505907"
IMPORTE_NETO;X;0.0;object;57663;"Top 10:
1.00        137667
2500.00      40963
1000.00      27164
4100.00      13711
2000.00      13361
4820.00      10971
11000.00     10190
10000.00      9111
1500.00       7625
7000.00       5245"
IMPORTE_NETO_PESOS;X;0.0;object;57663;"Top 10:
1.00        137667
2500.00      40963
1000.00      27164
4100.00      13711
2000.00      13361
4820.00      10971
11000.00     10190
10000.00      9111
1500.00       7625
7000.00       5245"
ESTADO;;83.17;object;2;"Top 10:
NaN    420775
P       48790
T       36342"
FECHA_ESTADO;;91.82;object;49;"Top 10:
NaN           464527
29/04/2019      3806
22/04/2019      2938
26/04/2019      2714
23/04/2019      2549
25/04/2019      2484
15/04/2019      2458
24/04/2019      2397
17/04/2019      2389
16/04/2019      2031"
FECHA_REAPERTURA;;99.34;object;24;"Top 10:
NaN           502555
03/04/2019       237
15/04/2019       201
17/04/2019       198
29/04/2019       192
25/04/2019       187
22/04/2019       183
16/04/2019       183
23/04/2019       181
26/04/2019       176"
CODIGO_REAPERTURA;;99.51;float64;5;"[1.0;5.0]"
FECHA_RESERVA;;13.45;object;2147;"Top 10:
NaN           68043
31/03/2019    50503
27/06/2018    10254
29/04/2019     8448
26/04/2019     6602
15/04/2019     6275
22/04/2019     6239
17/04/2019     6076
10/04/2019     5922
23/04/2019     5872"
FECHA_BAJA;;95.86;object;26;"Top 10:
NaN           484968
30/04/2019     14203
29/04/2019       721
26/04/2019       685
25/04/2019       473
24/04/2019       435
23/04/2019       434
09/04/2019       419
22/04/2019       407
08/04/2019       337"
CODIGO_BAJA;;96.34;float64;18;"[1.0;99.0]"
FECHA_LIQUIDACION;;91.62;object;43;"Top 10:
NaN           463518
10/04/2019      5071
09/04/2019      2768
15/04/2019      2671
29/04/2019      2532
05/04/2019      2459
26/04/2019      2400
24/04/2019      2368
08/04/2019      2296
03/04/2019      2055"
NUMERO_LIQUIDACION;;91.35;float64;40118;"[13200000185.0;98110000159.0]"
CONCEPTO_LIQUIDACION;;91.35;object;61;"Top 10:
NaN    462155
916      6523
905      6218
903      5581
900      4917
904      3058
4I4      2566
911      2527
921      1167
951      1120"
TIPO_LIQ;;91.35;object;2;"Top 10:
NaN    462155
T       28087
P       15665"
CODIGO_TEXTO;;91.35;float64;18;"[900.0;999.0]"
SUBCODIGO_TEXTO;;91.35;float64;11;"[0.0;13.0]"
NUM_ORD_PAGO;;91.35;float64;40118;"[132018000006.0;981118000055.0]"
FECHA_PAGO;;93.6;object;71;"Top 10:
NaN           473544
16/04/2019      5378
17/04/2019      3076
15/04/2019      2867
24/04/2019      2820
10/04/2019      2753
08/04/2019      2463
22/04/2019      2306
03/04/2019      1762
12/04/2019      1442"
CODIGO_VEHICULO;X;0.01;float64;8063;"[102.0;99105.0]"
COLOR;;29.44;object;2007;"Top 10:
NaN        148963
GRIS        94723
BLANCO      35972
S/I         33384
NEGRO       31237
999         18280
AZUL        17044
ROJO        15395
FRANCES      9724
BORDO        9565"
DESCRIPCION_VEHICULO;X;0.01;object;6971;"Top 10:
VOLKSWAGEN GOL TREND 1.6 PACK     5266
RENAULT CLIO MIO 1.2 5P CONFOR    4933
VOLKSWAGEN GOL TREND 1.6 5P L/    4743
CHEVROLET CLASSIC 1.4 LS ABS A    4524
VOLKSWAGEN GOL POWER (G.4) 3P     3703
FIAT PALIO 1.4 5P ATTRACT L/14    3684
VOLKSWAGEN SURAN 1.6 TRENDLINE    3199
FORD ECOSPORT 1.6 SE L/13         2992
VOLKSWAGEN SURAN 1.6 HIGHLINE     2982
RENAULT SANDERO STEPWAY II 1.6    2968"
MODELO_VEHICULO;X;0.01;float64;68;"[1929.0;2019.0]"
MOTOR;X;0.15;object;181738;"Top 10:
MOTOR              4372
NaN                 783
61200000000000       51
GJBM15372            47
V1A090957            40
457914U0967268       39
K9KV714D267869       38
T85092758            35
CFZ896461            35
310A20112682692      34"
CHASIS;X;0.21;object;181586;"Top 10:
CHASIS               4372
NaN                  1039
8AGSC1950FR181290      47
9BG148CK0EC445420      40
9BM695053CB836242      39
8A1FC1E15CL387445      38
9BWAB45Z0C4105637      35
8AGSS1950BR291649      35
8AP17177NG3076870      34
9BWAB45UET089158       33"
PATENTE;X;0.01;object;182849;"Top 10:
WWW00999    264
PCM00135     47
ODK00012     40
LKO00039     39
LVT00785     38
XXX00000     37
KWD00577     35
LAW00963     35
PLY00839     34
NKI00774     33"
TIPO;X;0.0;int64;32;"[1;41]"
DESCRIPCION_TIPO;X;0.0;object;25;"Top 10:
AUTOS, CAMIONE.RURAL    371307
PICK-UPS DE CLASE "A     42866
AUTOS, CAM.RURAL IMP     40236
JEEPS DE +4 CIL.Y PI     28234
JEEPS DE HASTA 4 CIL     14151
CAMIONES Y SEMITRACC      3274
MOTOCICLETAS, TRICIC      3181
CAMION +2 Y -10 GRUA       694
JEEPS +4,PICK.AMBUL        648
ACOPLADOS Y SEMIREMO       317"
USO;X;0.0;int64;10;"[1;51]"
DESCRIPCION_USO;X;0.0;object;10;"Top 10:
PARTICULAR EXCLUSIVAMENTE         481399
OFICIAL/COMERCIAL                  18332
CARGA ESPECIAL                      4149
COMERCIAL                           1222
AUXILIO MECANICO                     699
REMISE CON CHOFER PROFESIONAL         40
SEGURO DE REGISTRO                    28
TAXIMETRO CONDUCIDO POR DUENIO        20
CARGAS INFLAMABLES                    15
TRABAJOS VIALES,TRACTORES,ETC.         3"
COD_ACT_BENEF;;91.35;float64;20;"[1.0;99.0]"
ALT_COBERTURA;X;0.0;int64;208;"[1;989]"
SUMA_ASEG_VEHICULO;X;0.0;object;7075;"Top 10:
0.00         23722
178500.00     2455
183600.00     2448
357000.00     2123
189000.00     1966
367200.00     1838
377400.00     1823
142800.00     1728
387600.00     1705
210000.00     1701"
SUMA_ASEG_COBERTURA;X;0.0;object;4279;"Top 10:
0.00          246059
3000000.00    182686
357000.00        779
316200.00        772
377400.00        687
387600.00        675
326400.00        631
346800.00        622
295800.00        617
183600.00        591"
LUGAR_OCURRENCIA;X;0.02;object;167396;"Top 10:
SE IGNORA               2611
ROBERTO FITZ ROY 957    1270
FITZ ROY 957            1226
RUTA 9                   389
ACC OESTE                345
PANAMERICANA             315
RUTA NAC 9               286
RUTA NAC 3               260
RUTA 3                   236
AUTOP ACCESO NORTE 1     231"
COD_POST_OCURRENCIA;X;0.0;int64;4750;"[1;9420016]"
FUERA_TERRITORIO;X;0.0;object;2;"Top 10:
N    505020
S       887"
TIPO_SINIESTRO;X;0.0;object;10;"Top 10:
N    165917
C    132280
B    131746
I     28130
H     14951
L     13666
A     11067
E      6637
Z      1041
R       472"
FORMAL;;18.95;object;2;"Top 10:
S      272703
N      137327
NaN     95877"
FECHA_PASE_FORMAL;;45.42;object;4003;"Top 10:
NaN           229774
10/12/2018      1881
10/10/2018      1360
10/02/2019      1142
04/04/2011       825
22/03/2019       720
19/03/2019       720
26/03/2019       700
06/03/2019       699
20/03/2019       694"
IMP_VALOR_PRESUP;X;0.0;object;13461;"Top 10:
0.00        437668
11000.00     19257
4100.00      17101
1250.00       2092
5000.00        583
1.00           451
25000.00       362
1500.00        326
15000.00       308
9500.00        255"
OPCION_PAGO_EXP20;;98.62;float64;4;"[1.0;5.0]"
CONDICION_ROBO_EXP50;;98.98;float64;8;"[1.0;8.0]"
SUBROGABLE;;76.15;object;2;"Top 10:
NaN    385246
N      113835
S        6826"
SALVATAJE;;95.49;object;2;"Top 10:
NaN    483068
N       17228
S        5611"
POLIZA_REAL;;99.99;float64;7;"[0.0;6280004186205.0]"
TIPO_RC;X;0.0;float64;5;"[1.0;11.0]"
SEGURO;X;0.0;int64;6;"[1;6]"
FALTANTE;X;0.0;object;2;"Top 10:
S    329847
N    176060"
FECHA_RECEPCION;X;0.0;object;4799;"Top 10:
08/04/2019    4959
22/04/2019    4784
01/04/2019    4684
29/04/2019    4615
15/04/2019    4516
03/04/2019    4101
09/04/2019    4021
04/04/2019    3848
23/04/2019    3622
16/04/2019    3529"
FECHA_ENTREGA;;64.67;object;3694;"Top 10:
NaN           327170
29/04/2019      1927
22/04/2019      1519
29/03/2019      1443
26/04/2019      1387
25/04/2019      1302
15/04/2019      1299
01/04/2019      1249
23/04/2019      1229
16/04/2019      1178"
RECHAZO;X;0.02;object;2;"Top 10:
N      498896
S        6910
NaN       101"
FECHA_RECHAZO;;98.63;object;1521;"Top 10:
NaN           498952
28/03/2014        33
04/04/2019        30
12/04/2019        30
25/02/2019        28
17/04/2019        27
08/04/2019        27
15/04/2019        27
24/04/2019        23
23/04/2019        22"
MOTIVO_RECHAZO;;98.63;float64;18;"[1.0;114.0]"
IMPORTE_ADJUDICADO;X;0.0;object;12530;"Top 10:
0.00       466450
5373.00      1415
1700.00      1223
80.85         917
5700.00       916
99.00         498
80.59         491
3150.00       405
9550.00       387
7500.00       365"
IMPORTE_DEDUCCIONES;X;0.0;object;630;"Top 10:
0.00    504011
0.17        19
0.90        15
0.29        15
0.96        14
0.77        14
0.14        13
0.33        13
0.49        13
0.37        13"
IMPORTE_FRANQUICIA;X;0.0;object;1015;"Top 10:
0.00        502932
7500.00         89
3000.00         72
5720.00         43
9280.00         43
8360.00         39
11440.00        35
9780.00         34
11580.00        32
15000.00        32"
IMPORTE_PRENDARIO;X;0.0;object;78;"Top 10:
0.00         505760
525457.84        10
228731.00         4
174823.89         4
205713.45         3
130165.00         3
347802.00         2
87564.10          2
274415.59         2
116144.37         2"
USER_SINI;X;0.0;object;1297;"Top 10:
ACAWEB      45626
SINISWEB    22936
LOPEZM       6007
JUEZ         4991
DUMON        4587
ROSETTI      4562
PENDINO      4446
SOLARI       4335
PETITTO      4249
REMPELL      4248"
USER_EXPED;X;0.0;object;881;"Top 10:
ACT_CASE    50674
BRINI       37682
MESA        24484
WAKULUK     16849
MOSER       16470
RVA_SAP     14318
BAJARVAS    13679
DEINA       11238
SUAREZ       7853
SINISWEB     7567"
USER_LIQ;;91.35;object;314;"Top 10:
NaN         462155
MESA          5051
BRINI         4309
SUAREZM       1464
SEMLIAN       1448
PISANU1       1422
MONTESAR      1237
TAGLE          994
WAKULUK        930
PALAVECN       882"
USER_JUI;;54.76;object;122;"Top 10:
NaN         277013
BRINI        48565
WAKULUK      15480
MOSER        15125
BRUNET       14818
MESA         10796
DEINA        10330
NARVAEZD      8510
SUAREZ        6963
JAIMEB        5781"
AJUSTE_RESERVA;X;0.0;object;7806;"Top 10:
0.00        483895
4100.00       2397
11000.00      1195
7000.00        989
2500.00        908
1.00           414
5453.85        338
10000.00       314
5000.00        248
17000.00       223"
FECHA_APER_SINI;X;0.0;object;4839;"Top 10:
08/04/2019    4757
01/04/2019    4619
22/04/2019    4513
15/04/2019    4357
29/04/2019    4331
03/04/2019    4018
09/04/2019    3801
04/04/2019    3723
16/04/2019    3331
23/04/2019    3325"
FECHA_MODI_SINI;;56.73;object;3366;"Top 10:
NaN           286993
22/04/2019      1554
08/04/2019      1337
15/04/2019      1318
29/04/2019      1294
16/04/2019      1170
09/04/2019      1169
23/04/2019      1160
17/04/2019      1068
03/04/2019      1047"
FECHA_APER_EXP;X;0.0;object;4794;"Top 10:
19/12/2018    5583
27/06/2018    5524
08/04/2019    4937
22/04/2019    4747
01/04/2019    4717
29/04/2019    4550
15/04/2019    4485
03/04/2019    4091
09/04/2019    3973
04/04/2019    3831"
FECHA_MODI_EXP;;14.53;object;2028;"Top 10:
NaN           73525
31/03/2019    50689
30/04/2019    19338
10/04/2019     9727
29/04/2019     8725
26/04/2019     8429
15/04/2019     7344
17/04/2019     6908
25/04/2019     6881
24/04/2019     6853"
FECHA_ANU_LIQ;;99.73;object;19;"Top 10:
NaN           504544
12/04/2019       159
22/04/2019        95
04/04/2019        92
05/04/2019        81
10/04/2019        81
25/04/2019        81
01/04/2019        79
15/04/2019        79
16/04/2019        77"
RESERVA_ANTEPENULTIMA;X;0.0;object;4180;"Top 10:
0.00        489396
11000.00      2206
2500.00       1733
7000.00       1379
4100.00        756
1.00           421
10000.00       317
1500.00        242
5453.85        184
23000.00       171"
TOTAL_LIQUIDADO;X;0.0;object;16058;"Top 10:
0.00        462461
1700.00       1191
5453.85        632
5700.00        319
607.00         289
10000.00       282
7537.50        272
5000.00        266
1400.00        259
1200.00        233"
RESERVA_DENUNCIADO;X;0.0;object;649;"Top 10:
0.00        483471
11000.00      6008
2500.00       4731
10100.00      2907
1.00          2079
7000.00       1351
1500.00        896
4100.00        867
4820.00        478
607.00         260"
RECUPERADOR_050;;99.87;object;35;"Top 10:
NaN                               505269
URUGUAY 1628 S.R.L. -                134
PAIZ FERNANDO DAMIAN                  81
CAR SECURITY SA. -                    72
LOPEZ HECTOR CRISTIAN                 67
YASJON RECUPERACION AUTOMOTOR         52
ITURAN DE ARGENTINA S.A. .            42
GALLEGO GUSTAVO ARIEL                 35
ESTUDIO LIBRA ESTUDIO LIBRA           22
MARTINI CELIA SILVANA                 22"
COD_AGEN_TRAMI;X;0.0;int64;213;"[10;9801]"
STATUS;X;0.0;object;6;"Top 10:
PENDIENTES    396440
LIQUIDADOS     43752
DENUNADMIN     36623
CERRADOS       20939
DENUNJUDIC      4801
REABIERTOS      3352"
FECHA_PROCESO;;0.0;object;1;"Top 10:
30/04/2019    505907"
KM_REC_AL_ASEGURAR;;49.49;float64;44936;"[0.0;999999.0]"
IMP_VALOR_PRESU_EXP10;X;0.0;object;18702;"Top 10:
0.00        229866
1.00         91163
26000.00     17826
5000.00       4698
12500.00      4651
2600.00       4123
15000.00      3630
1500.00       3602
10000.00      3566
2300.00       3007"
ESTAD_VEH_ASEG;;17.43;float64;6;"[0.0;5.0]"
NOMBRE_CONDUCTOR;X;0.0;object;180411;"Top 10:
GENERICO DE OFICIO          3094
GENERICO, DE OFICIO         2381
GENERICO, DE JUICIOS        2121
GENERICO, DE JUICIO          724
DE OFICIO, GENERICO          462
GENERICO, SIN DATOS          345
DE JUICIOS, GENERICO          99
SIN DATOS, GENERICO           90
GENERICO DE, JUICIOS          56
GENERICO, DE MEDIACIONES      55"
TIPO_DOCUM_COND;X;0.0;object;10;"Top 10:
DU    440817
LE     43945
LC      9666
CT      7836
CL      2630
PA       560
CI       416
DL        22
PD        12
ER         3"
NRO_DOCUM_COND;X;0.0;int64;181193;"[0;33999176149]"
VALUACION_DANIO;;76.38;object;32293;"Top 10:
NaN        386435
1.00         2888
1000.00       771
100.00        721
2000.00       598
1200.00       564
600.00        538
800.00        516
400.00        454
0.00          450"
INSPECTOR;;65.22;float64;865;"[0.0;33711998549.0]"
CODIGO_CARATULA;;54.76;float64;70014;"[2291.0;268833.0]"
TIPO_LESION;;37.7;object;3;"Top 10:
L      221054
NaN    190702
D       90412
M        3739"
RESERVA_INICIAL;X;0.0;object;5464;"Top 10:
2500.00     61322
1.00        58431
10100.00    50266
11000.00    37780
4820.00     35582
4100.00     21905
2892.00     18347
1500.00     16803
9100.00     12849
7000.00      9638"
USER_INICIAL;X;0.01;object;1293;"Top 10:
SINISWEB    26388
ACAWEB      22018
MOSER       18809
ELIZARI     17632
VALLES      11050
MESA         9436
REM          8641
DENICHIL     8374
OYHENART     6613
MASTRONA     6571"
RESERVA_FORMAL;X;0.0;object;5724;"Top 10:
0.00        277824
4820.00      32439
1.00         30591
2892.00      20970
2500.00       7773
3000.00       7331
500.00        6463
23000.00      6393
800.00        6090
5000.00       5247"
FECHA_FORMAL;;47.81;object;4049;"Top 10:
NaN           241887
10/12/2018      1829
10/10/2018      1326
10/02/2019      1144
04/04/2011       829
06/03/2019       692
22/03/2019       669
26/03/2019       668
10/03/2019       661
19/03/2019       652"
USER_FORMAL;;46.1;object;750;"Top 10:
NaN         233204
ELIZARI      33748
VALLES       21334
MOSER        21020
MASTRONA     10076
WS            8709
JAIMEB        8469
REM           8356
BAZZAN        6784
DELAIGLE      6248"
RESERVA_CIERRE;;0.0;object;1;"Top 10:
0.00    505907"
FECHA_CIERRE;;100.0;float64;0;"[nan;nan]"
USER_CIERRE;;100.0;float64;0;"[nan;nan]"
CIA_COASEG;;46.1;float64;168;"[0.0;999.0]"
NOMBRE_COASEG;;88.27;object;156;"Top 10:
NaN                               446544
FEDERACION PATRONAL COOP.DE SE      5405
BERNARDINO RIVADAVIA COOP.L         4853
LA CAJA DE SEGUROS S.A.             3705
ORBIS CIA.ARG. DE SEG. S.A.         3626
LIDERAR                             2999
ANTARTIDA CIA.ARG.DE SEG.S.A.       2218
LA NUEVA SOC.COOP.DE SEG. LTDA      2049
LA MERCANTIL ANDINA S.A. CIA.D      1836
A.T.M.                              1720"
FECHA_VIG_ORIG_POL;;7.85;object;4447;"Top 10:
NaN           39730
30/11/2018     3342
01/10/2018     2283
01/06/2018     2271
01/08/2018     2242
01/09/2018     2162
10/08/2018     2121
01/07/2018     2096
10/07/2018     2081
01/11/2018     2071"
RESERVA_JUDICIAL;X;0.0;object;4958;"Top 10:
0.00        297339
4820.00      30041
1.00         22733
2892.00      19472
3000.00       7662
500.00        6946
800.00        6557
5000.00       5848
23000.00      5430
4000.00       3326"
FECHA_JUDICIAL;;60.19;object;3178;"Top 10:
NaN           304508
17/04/2019       899
22/04/2019       753
25/04/2019       654
11/04/2019       652
10/04/2019       609
23/04/2019       592
03/04/2019       540
15/04/2019       531
24/04/2019       521"
USER_JUDICIAL;;54.76;object;127;"Top 10:
NaN         277013
ELIZARI      35612
MOSER        24983
VALLES       23552
REM          10710
MASTRONA     10639
JAIMEB        8214
DELAIGLE      7201
BAZZAN        7175
COLOSIMO      7089"
RECLAMO_EXTRAJUD;;35.52;object;9;"Top 10:
NaN    179680
N      120062
M      104329
T       81739
S       18565
X         837
J         539
L         137
E          17
I           2"
TIPO_DENUNCIA;X;0.0;object;6;"Top 10:
T    245846
S    206157
W     52656
D      1087
F       158
X         3"
RESOLUCION;;62.78;object;4;"Top 10:
NaN    317598
N      158506
P       16329
I       11624
C        1850"
TOTAL_EXPED_003;X;0.0;object;9454;"Top 10:
0.00        476055
1.00          5733
2.00           329
8500.00        296
6000.00        296
10000.00       291
8000.00        265
5000.00        244
9500.00        225
7000.00        202"
COD_AGENCIA_PAGO;;91.39;float64;54;"[1359.0;8110.0]"
COD_DOCUM_BENEF;;91.35;object;8;"Top 10:
NaN    462155
CT      31555
DU      11168
LE        658
LC        292
CL         58
PA         11
CI          9
DL          1"
COD_BENEF;;91.35;float64;13069;"[1030.0;34999032089.0]"
TIPO_DOCUM_ASEG;X;0.0;object;9;"Top 10:
DU    414741
CT     39087
LE     39062
LC     12535
CL       321
CI       105
PA        37
PD        18
ER         1"
NRO_DOCUM_ASEG;X;0.0;int64;172339;"[13600;34999032089]"
TIPO_DOCUMENTO_TERC;;37.08;object;15;"Top 10:
DU     281469
NaN    187569
LE      17545
CT       6419
LC       5804
CL       3233
CI       2160
PA       1666
DL         21
SG          4"
NRO_DOCUMENTO_TERC;;36.39;float64;130173;"[0.0;2975344311331.0]"
APELLIDO_ASEG;X;0.02;object;74031;"Top 10:
GONZALEZ         4995
RODRIGUEZ        4562
GENERICO         4355
GOBIERNO CABA    4222
FERNANDEZ        3877
GOMEZ            3577
LOPEZ            3433
MARTINEZ         3010
GARCIA           2787
DIAZ             2599"
NOMBRE_ASEG;;3.29;object;45790;"Top 10:
.                 51912
NaN               16653
DE OFICIO          4355
JUAN CARLOS        3375
MIGUEL ANGEL       2845
CARLOS ALBERTO     2814
JOSE LUIS          1929
JUAN MANUEL        1473
LUIS ALBERTO       1433
JUAN PABLO         1137"
ESTADO_CIVIL;;1.05;object;10;"Top 10:
CA     249588
SO     222712
DI      14220
NaN      5308
UL       4769
VI       4757
SE       2897
CO        742
NC        556
UC        308"
FECHA_NAC_ASEG;;0.75;object;24478;"Top 10:
01/01/1900    19299
NaN            3805
01/10/1944     3104
10/10/1950     1773
01/01/1970     1408
02/10/1962     1095
11/11/1940      893
01/01/1980      654
11/12/1994      531
17/03/1967      529"
SEXO;X;0.01;object;2;"Top 10:
M      378998
F      126882
NaN        27"
OCUPACION_ASEG;X;0.15;float64;49;"[0.0;99999.0]"
APELLIDO_NOMBRE_TERC;;23.87;object;164847;"Top 10:
NaN                     120772
SIN DATOS                 9173
GENERICO, DE OFICIO       2418
GENERICO, DE JUICIOS      2409
DE OFICIO, GENERICO        867
GENERICO, DE JUICIO        854
MASCULINO                  644
SIN DATOS.-                602
GENERICO, SIN DATOS        585
MASCULINO SIN DATOS        549"
DOMICILIO_TERC;;42.53;object;95851;"Top 10:
NaN                            215155
FITZ ROY 957                     9468
ROBERTO FITZ ROY 957             4162
ROBERTO FITZ ROY 1414            1519
SAN MARTIN 987                   1403
GENERICO                         1169
ROBERTO FITZ ROY 975              790
GRAL JUAN LAVALLE 200             750
AVDA FELIX DE OLAZABAL 1414       718
CALLE 13 399                      614"
ESTADO_CIVIL_TERC;;45.33;object;9;"Top 10:
NaN    229325
SO     187961
CA      83111
DI       2907
VI       1339
SE        761
UL        352
UC        143
NC          6
CO          2"
FECHA_NAC_TERC;;45.17;object;21692;"Top 10:
NaN           228539
11/11/1900      6165
10/10/1950      4754
01/01/1990      3815
10/10/1980      3142
01/01/1900      3072
10/10/1990      2930
01/01/1970      2646
01/10/1970      2554
10/10/1985      2387"
SEXO_TERC;;18.02;object;2;"Top 10:
M      341230
NaN     91174
F       73503"
COD_POST_TERC;;43.69;float64;3543;"[1440.0;9420016.0]"
TELEFONO_TERC;;82.37;object;36748;"Top 10:
NaN           416716
15424-0397      1118
48578118         232
4312-5900        189
4857-8118        158
4331-3688        139
4363-2872        126
1541986481        95
4317-7400         84
4919-4439         78"
TIPO_LESION_MAXIMA;;54.76;object;3;"Top 10:
NaN    277013
L      189233
D       35859
M        3802"
USER_RESOLUCION;;94.11;object;370;"Top 10:
NaN         476118
ESTIEZZ4      1893
ESTALAR4      1534
ESTIRIG1      1437
ESTTERS4      1415
CAPPELLA      1356
CORZON        1295
ESTBORDE      1147
ESTIRIGO      1135
ESTZITO3       902"
DANOS_MATERIALES;X;0.0;object;9453;"Top 10:
0.00        476060
1.00          6058
6000.00        296
8500.00        296
10000.00       291
8000.00        265
5000.00        244
9500.00        225
7000.00        201
7500.00        193"
OFRECIMIENTO;X;0.0;object;4209;"Top 10:
0.00        483382
1.00          4516
10000.00       442
6000.00        340
8000.00        299
5000.00        295
8500.00        291
12000.00       286
20000.00       277
15000.00       267"
USER_APER_SINI;X;0.0;object;1129;"Top 10:
SINISWEB    52440
ACAWEB      48869
MITLON       5252
ARNAIZ       5081
ASIS         4545
LUGO         4483
PAGNAT       4111
EUROP12      4032
EUROP17      4018
ARDANAZ      3847"
USER_APER_EXP;X;0.0;object;1278;"Top 10:
SINISWEB    40812
ACAWEB      36173
MOSER        5730
IT239827     5197
IT243328     4906
MITLON       4256
DENICHIL     3911
ARNAIZ       3877
DIBARTOL     3768
EUROP12      3701"
NRO_EQUIPO;;54.76;float64;9;"[4.0;61.0]"
JEFE_EQUIPO;;54.76;object;8;"Top 10:
NaN    277013
FB      77409
RA      51202
GK      47920
FC      19429
BA      14565
M7      13995
CS       4172
PS        202"
MON;;93.76;float64;479;"[0.0;35000003.0]"
FECHA_MONEDA;;93.76;object;810;"Top 10:
NaN           474329
29/04/2019       371
11/04/2019       251
27/03/2019       246
25/04/2019       233
12/04/2019       222
26/04/2019       222
26/03/2019       217
28/06/2018       210
25/03/2019       199"
NRO_CPACF;;76.51;object;26;"Top 10:
NaN                                  387072
T°88 F° 88   DNI 27861137             10849
ABO A PARTIR NOV/12 EQ25               9987
EQ.34 ABOG 24/03/14                    9979
EQ.ABOG EQ.10                          9010
EQ10 ABOG 31362940                     8000
EQ 7 AB                                7985
AB EQ 10                               7626
ESTUDIO FLOM ABOGADA DNI 29094461      6769
AB-EQ10 11/10/11                       6742"
COD_PRODUCTOR;X;0.0;int64;1883;"[5;99020]"
NOM_PRODUCTOR;X;0.0;object;1729;"Top 10:
TELEMARKETING CAJA DE SEGUROS S.A.         30289
BANCO SANTANDER RÍO S A                    27883
COURTAGE SA                                27313
ICBC (ARGENTINA) SA.                       19280
A.C.A. TELEMARKETING 1644                  17723
FC RIMACO ARGENTINA SA                     14173
MIDDLE SEA BROKER                          12271
SUCURSAL VILLA CRESPO .                    11861
GENERAL MOTORS DE ARGENTINA SA             11610
EXPERTISE BROKER ASESORES DE SEGUROS SA    11527"
COD_AGENCIA_SOLIC;;0.96;float64;319;"[0.0;9902.0]"
